information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_260~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-331~0~0~1~Sim0
InfoAct_id_261~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-335~0~0~1~Sim0
InfoAct_id_262~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-339~0~0~1~Sim0
InfoAct_id_263~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-274~0~0~1~Sim0
InfoAct_id_264~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-278~0~0~1~Sim0
InfoAct_id_265~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-282~0~0~1~Sim0
InfoAct_id_266~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-286~0~0~1~Sim0
InfoAct_id_267~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-290~0~0~1~Sim0
InfoAct_id_268~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-307~0~0~1~Sim0
InfoAct_id_269~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-311~0~0~1~Sim0
InfoAct_id_270~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-315~0~0~1~Sim0
InfoAct_id_271~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-319~0~0~1~Sim0
InfoAct_id_272~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-323~0~0~1~Sim0
InfoAct_id_273~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-327~0~0~1~Sim0
InfoAct_id_274~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-331~0~0~1~Sim0
InfoAct_id_275~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-335~0~0~1~Sim0
InfoAct_id_276~SEND~15min (15min.lt)~Sonata Patkauskait?~IP-339~0~0~1~Sim0
