information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_3207~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-335~0~0~2~Sim0
InfoAct_id_3208~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-339~0~0~2~Sim0
InfoAct_id_3209~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-4~0~0~2~Sim0
InfoAct_id_3210~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-27~0~0~2~Sim0
InfoAct_id_3211~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-31~0~0~2~Sim0
InfoAct_id_3212~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-35~0~0~2~Sim0
InfoAct_id_3213~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-46~0~0~2~Sim0
InfoAct_id_3214~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-50~0~0~2~Sim0
InfoAct_id_3215~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-54~0~0~2~Sim0
InfoAct_id_3216~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-58~0~0~2~Sim0
InfoAct_id_3217~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-62~0~0~2~Sim0
InfoAct_id_3218~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-66~0~0~2~Sim0
InfoAct_id_3219~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-70~0~0~2~Sim0
InfoAct_id_3220~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-74~0~0~2~Sim0
InfoAct_id_3221~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-78~0~0~2~Sim0
InfoAct_id_3222~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-82~0~0~2~Sim0
InfoAct_id_3223~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-86~0~0~2~Sim0
InfoAct_id_3224~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-90~0~0~2~Sim0
InfoAct_id_3225~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-94~0~0~2~Sim0
InfoAct_id_3226~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-98~0~0~2~Sim0
InfoAct_id_3227~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-102~0~0~2~Sim0
InfoAct_id_3228~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-106~0~0~2~Sim0
InfoAct_id_3229~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-110~0~0~2~Sim0
